country,country_code,sector,subsector,btype,bage,topic,feature,type,detail,estimated,value,unit,source,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,WALLS,construction methodology,honeycomb bricks / hollow blocks wall,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,WINDOWS,construction material,wood,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,WINDOWS,construction methodology,single glazing,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ROOF,construction material,wood,,0,0.733996742288577,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ROOF,construction material,concrete,,0,0.266003257711423,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ROOF,construction material,tilted roof,,0,0.811959537415519,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ROOF,construction material,,insulation,0,0.656033947161635,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ROOF,construction material,flat roof,,0,0.188040462584481,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,FLOOR,construction material,concrete,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,FLOOR,construction methodology,concrete slab,,0,1,dimensionless,Source residential part: Own calculations,,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Useful energy demand,Space heating [kWh/m² year],,0,155.203296083707,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Useful energy demand,Space cooling [kWh/m² year],,0,52.115812186455,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Useful energy demand,Domestic hot water  [kWh/m² year],,0,18.6998975274906,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Final energy consumption,Space heating [kWh/m² year],,0,206.094456869554,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Final energy consumption,Space cooling [kWh/m² year],,0,8.85968807169735,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Final energy consumption,Domestic hot water [kWh/m² year],,0,28.0498462912359,kWh/m²/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Total useful energy demand,Space heating+Domestic hot water [TWh/year],,0,14.9629459909294,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Total useful energy demand,Space cooling [TWh/year],,0,0.097454327808747,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Total final energy consumption,Space heating+Domestic hot water [TWh/year],,0,20.1663007991627,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1945 - 1969,ENERGY,Total final energy consumption,Space cooling [TWh/year],,0,0.016567235727487,TWh/year,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/ and S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Area,Constructed area [Mm²],,0,53.3176096,Mm²,Vienna University of Technology, e-think. Invert/EE-Lab. 2017 http://www.invert.at/,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Area,Heated area [Mm²],,0,49.2744418823059,Mm²,S. Pezzutto. Analysis of the space heating and cooling market in Europe. PhD-Thesis. 2014,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Area,Cooled area [Mm²],,0,1.192316,Mm²,,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Area,Number of dwellings/units [Mil.],,0,0.684598249409928,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Area,Number of buildings [Mil.],,0,0.555660462525547,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Tenure/ownership status and distribution,Owner occupied -  dwellings/units  [Mil.],,0,0.391590198662479,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Tenure/ownership status and distribution,Private rented  -  dwellings/units [Mil.],,0,0.186210723839501,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Tenure/ownership status and distribution,Social housing  -  dwellings/units [Mil.],,0,0.106797326907949,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Occupancy,Occupied [Mil.],,0,0.744220889152858,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Occupancy,Vacant [Mil.],,1,0.102359114132714,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Occupancy,Secondary dwellings/ units and others [Mil.],,1,0.020870116483189,1e6 dimensionless,Own calculations,,,,
Austria,at,Residential sector,Total,Total,1970 - 1979,BUILDING,Construction features (U-values),Walls,,0,1.3227924516706,dimensionless,Source residential part: IEE TABULA Project, TABULA Web Tool, 2017 http://webtool.building-typology.eu/#bm; Source service part: S. Birchall et al., D2.1a Survey on the energy needs and architectural features of the EU building stock,2014
